#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (09-2024 - 08-2026),SV Forecasting trend (09-2026 - 09-2027),Category
355,the animal doctor broomfield,pk,,,,,,,,30,,,2021-11-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
356,nearest animal doctor,pk,,,,,,,,70,,,2020-07-28,,,"0, 0, 0, 1, 0, 2, 1, 1, 1, 3, 1, 0, 0, 2, 0, 0, 1, 1, 1, 5, 4, 2, 0, 0",2,
357,veterinary doctor jobs in germany,pk,,,,,,,,,,,2016-05-02,,,"0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
358,veterinary doctor free consultation online,pk,,,,,,,,,,,2022-10-20,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
359,what are animal doctor called,pk,,,,,,,,,,,2020-10-21,,,"0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
360,veterinary doctor university,pk,,,,,,,,,,,2022-06-02,,,"2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
361,animal hospital roblox characters doctor,pk,,,,,,,,,,,2026-07-18,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0",2,
362,rogers arkansas animal doctor,pk,,,,,,,,,,,2020-02-18,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
363,how to be animal doctor,pk,,,,,,,,,,,2022-10-03,,,"0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
364,zakria pets clinic & mart lahore,pk,,,,,,,,,,,2023-06-13,,,"2, 0, 0, 0, 3, 0, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
365,veterinary doctor online help,pk,,,,,,,,,,,2020-04-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
366,how much does animal doctor earn,pk,,,,,,,,,,,2023-06-06,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
367,how much a veterinary doctor earn in usa,pk,,,,,,,,40,,,2025-11-05,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 2, 1",2,
368,emotional support animal doctor,pk,,,,,,,,50,,,2020-01-20,,,"0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
369,how to become a veterinary doctor after 10th,pk,,,,,,,,10,,,2020-12-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0",1,
370,veterinary doctor meaning in urdu and examples,pk,,,,,,,,,,,2026-01-13,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 4, 1, 0, 0, 0, 1",2,
371,veterinary doctor salary in europe per month,pk,,,,,,,,80,,,2026-06-11,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1",2,
372,veterinary doctor school,pk,,,,,,,,10,,,2021-03-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0",1,
373,what is the monthly income of veterinary doctor,pk,,,,,,,,,,,2023-07-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
374,al raha veterinary clinic and pet shop lahore,pk,,,,,,,,,,,2024-04-18,,,"1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
375,veterinary doctor group a gazetted officer,pk,,,,,,,,10,,,2023-02-26,,,"0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
376,veterinary doctor cv,pk,,,,,,,,,,,2015-12-30,,,"0, 0, 0, 0, 12, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
377,veterinary doctor near my location,pk,,,,,,,,,,,2020-01-18,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
378,doctor treating animal bite,pk,,,,,,,,20,,,2026-04-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 1, 0, 0",1,
379,what is the name of doctor that treat animal,pk,,,,,,,,30,,,2022-07-17,,,"6, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0",2,
380,veterinary doctor logo image,pk,,,,,,,,10,,,2021-01-22,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
381,veterinary doctor salary in india,pk,,,,,,,,150,,,2017-10-14,,,"0, 0, 0, 0, 1, 3, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
382,how to be an animal doctor,pk,,,,,,,,,,,2022-11-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
383,veterinary doctor number,pk,,,,,,,,30,,,2021-02-15,,,"1, 4, 0, 1, 0, 2, 0, 1, 1, 1, 0, 1, 4, 0, 1, 1, 0, 2, 3, 1, 1, 0, 1, 0",2,
384,what do u call an animal doctor,pk,,,,,,,,,,,2023-11-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
385,visiting card of veterinary doctor,pk,,,,,,,,,,,2020-07-03,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
386,veterinary doctor salary in oman,pk,,,,,,,,,,,2021-10-23,,,"1, 1, 4, 1, 3, 2, 0, 0, 1, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
387,veterinary doctor salary in pakistan per month,pk,,,,,,,,,,,2021-03-18,,,"17, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
388,animal doctor ko english mein kya kahate hain,pk,,,,,,,,,,,2023-04-21,,,"0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 2, 1, 0, 2, 0",2,
389,salary veterinary doctor,pk,,,,,,,,10,,,2021-11-15,,,"0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0",2,
390,animal doctor visiting card,pk,,,,,,,,70,,,2019-05-21,,,"4, 10, 21, 18, 12, 14, 4, 3, 5, 6, 2, 2, 8, 1, 7, 4, 2, 1, 3, 4, 4, 6, 4, 3",5,
391,veterinary doctor in usa,pk,,,,,,,,,,,2020-09-06,,,"3, 1, 5, 1, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0",1,
392,veterinary doctor jobs in usa,pk,,,,,,,,10,,,2021-10-02,,,"0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
393,animal doctor canton ga,pk,,,,,,,,60,,,2021-06-06,,,"0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
394,emotional support animal letter doctor,pk,,,,,,,,50,,,2023-08-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
395,veterinarian veterinary doctor logo,pk,,,,,,,,,,,2020-12-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
396,sea animal doctor,pk,,,,,,,,10,,,2021-11-10,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
397,vet animal doctor,pk,,,,,,,,50,,,2018-11-21,,,"0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 1, 3, 4, 2, 0, 0, 2, 0, 4, 1, 1, 0, 0",1,
398,cake for veterinary doctor,pk,,,,,,,,10,,,2021-05-13,,,"8, 8, 4, 7, 0, 3, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0",1,
399,veterinary doctor salary in japan,pk,,,,,,,,10,,,2024-05-23,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1",2,
400,veterinary doctor in canada,pk,,,,,,,,,,,2020-11-28,,,"2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
401,animal bite specialist doctor,pk,,,,,,,,50,,,2020-11-03,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0",2,
402,veterinary doctor meaning in hindi,pk,,,,,,,,60,,,2016-02-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 25, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0",1,
403,veterinary doctor course in pakistan,pk,,,,,,,,,,,2016-10-19,,,"25, 27, 8, 22, 20, 25, 14, 0, 5, 14, 9, 4, 1, 2, 2, 2, 2, 3, 3, 2, 1, 0, 4, 16",7,
404,veterinary doctor in ahmedabad,pk,,,,,,,,,,,2023-07-26,,,"0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
405,veterinary doctor salary in saudi arabia,pk,,,,,,,,10,,,2018-01-18,,,"4, 3, 0, 4, 7, 9, 0, 2, 0, 2, 3, 2, 9, 6, 3, 3, 2, 3, 3, 3, 0, 0, 0, 0",1,
406,animal doctor near me within 5 mi,pk,,,,,,,,,,,2024-06-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
407,veterinary doctor registration check,pk,,,,,,,,,,,2021-11-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
408,veterinary doctor kya hota hai,pk,,,,,,,,100,,,2023-07-31,,,"0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0",2,
409,best veterinary doctor,pk,,,,,,,,200,,,2020-07-08,,,"2, 2, 2, 0, 3, 1, 0, 9, 1, 2, 0, 0, 0, 1, 4, 0, 1, 0, 3, 2, 1, 1, 2, 0",2,
410,animal doctor milano,pk,,,,,,,,30,,,2020-03-11,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0",1,
411,what we call a animal doctor,pk,,,,,,,,10,,,2021-10-02,,,"7, 0, 1, 1, 0, 0, 0, 1, 0, 0, 5, 0, 3, 2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1",2,
412,animal doctor in rawalpindi,pk,,,0.15,,,,,,,,2016-09-11,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
413,veterinary doctor fees structure,pk,,,,,,,,10,,,2024-03-15,,,"4, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0",1,
414,what is the work of veterinary doctor,pk,,,,,,,,10,,,2023-10-26,,,"1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0",1,
415,veterinary doctor specialization,pk,,,,,,,,10,,,2021-10-22,,,"1, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 1, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0",1,
416,lahore animal hospital lahore 53700,pk,,,,,,,,,,,2017-03-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
417,emergency animal doctor,pk,,,,,,,,40,,,2020-03-17,,,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0",1,
418,near me animal doctor,pk,,,,,,,,30,,,2020-05-27,,,"0, 0, 0, 0, 3, 1, 3, 2, 5, 1, 6, 1, 6, 0, 0, 1, 2, 2, 5, 0, 12, 3, 3, 1",3,
419,best veterinary doctor in chennai,pk,,,,,,,,20,,,2022-11-30,,,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
420,veterinary doctor job,pk,,,,,,,,30,,,2020-03-03,,,"0, 0, 5, 0, 5, 4, 5, 8, 0, 3, 1, 0, 0, 0, 0, 0, 1, 3, 3, 1, 0, 2, 0, 0",2,
421,animal doctor call number,pk,,,,,,,,10,,,2025-04-03,,,"0, 0, 0, 0, 0, 0, 0, 1, 5, 5, 4, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 0",3,
422,veterinary doctor dress,pk,,,,,,,,30,,,2022-07-16,,,"3, 4, 2, 1, 1, 4, 0, 0, 0, 0, 1, 4, 5, 0, 4, 0, 4, 4, 1, 0, 3, 1, 3, 3",3,
423,animal eye doctor near me,pk,,,,,,,,150,,,2021-07-12,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0",1,
424,govt animal doctor near me,pk,,,,,,,,10,,,2022-05-17,,,"0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 3, 3, 1, 1, 1",2,
425,pets world pet clinic lahore,pk,,,,,,,,,,,2020-04-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
426,animal doctor sex,pk,,,,,,,,,,,2020-03-15,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0",1,
427,doctor of veterinary medicine dvm degree,pk,,,,,,,,10,,,2020-07-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
428,the name of animal doctor,pk,,,,,,,,,,,2024-07-04,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
429,little fox animal doctor,pk,,,,,,,,200,,,2020-07-28,,,"0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
430,what is the course of animal doctor,pk,,,,,,,,,,,2022-09-01,,,"2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
431,best animal doctor in the world,pk,,,,,,,,,,,2022-10-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
432,veterinary doctor apron,pk,,,,,,,,10,,,2025-09-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0",1,
433,how to be a veterinary doctor,pk,,,,,,,,200,,,2016-08-08,,,"4, 2, 2, 0, 1, 1, 0, 0, 2, 1, 2, 1, 0, 2, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0",1,
434,veterinary doctor training,pk,,,,,,,,10,,,2020-08-21,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0",1,
435,salary of veterinary doctor in dubai,pk,,,,,,,,10,,,2021-08-20,,,"0, 2, 0, 0, 0, 1, 0, 0, 3, 1, 3, 3, 1, 2, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0",1,
436,doctor note template for emotional support animal,pk,,,,,,,,,,,2023-03-12,,,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
437,animal doctor veterinary clinic,pk,,,,,,,,10,,,2019-02-20,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0",1,
438,veterinary doctor education qualification,pk,,,,,,,,40,,,2020-04-01,,,"0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 7, 0, 0, 0",1,
439,veterinary doctor hyderabad,pk,,,,,,,,60,,,2017-11-14,,,"4, 2, 1, 2, 2, 0, 5, 1, 5, 2, 0, 3, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1",2,
440,how to become veterinary doctor in pakistan,pk,,,,,,,,,,,2016-10-25,,,"21, 13, 3, 0, 2, 1, 0, 0, 0, 1, 1, 5, 16, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
441,veterinary doctor designation,pk,,,,,,,,20,,,2022-03-08,,,"1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
442,animal doctor degree,pk,,,,,,,,30,,,2017-02-27,,,"5, 2, 3, 0, 8, 3, 3, 6, 3, 3, 6, 5, 1, 5, 3, 2, 0, 0, 0, 2, 0, 0, 1, 0",2,
443,veterinary doctor salary in malaysia,pk,,,,,,,,30,,,2020-04-30,,,"2, 1, 0, 0, 2, 0, 1, 1, 0, 0, 1, 2, 0, 1, 4, 1, 0, 0, 0, 0, 2, 1, 0, 1",2,
444,pet -vet animal care hospital lahore,pk,,,,,,,,,,,2022-01-13,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
445,animal doctor games,pk,,,,,,,,10,,,2015-09-15,,,"0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
446,veterinary doctor salary in punjab,pk,,,,,,,,40,,,2020-02-23,,,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
447,veterinary doctor visiting card in marathi,pk,,,,,,,,,,,2021-05-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
448,veterinary doctor government salary,pk,,,,,,,,20,,,2020-03-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0",1,
449,mobile animal care doctor,pk,,,,,,,,,,,2022-07-15,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
450,information about veterinary doctor,pk,,,,,,,,10,,,2016-06-20,,,"2, 1, 0, 2, 1, 0, 3, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
451,qualifications for veterinary doctor,pk,,,,,,,,10,,,2022-11-03,,,"1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
452,veterinary doctor uniform,pk,,,,,,,,60,,,2019-03-16,,,"10, 9, 6, 3, 5, 3, 1, 0, 6, 0, 4, 10, 4, 7, 6, 5, 2, 12, 1, 4, 4, 1, 4, 0",3,
453,veterinary doctor charges,pk,,,,,,,,,,,2021-09-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
454,zia veterinary clinic lahore,pk,,,,,,,,,,,2015-11-05,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
455,what do we call animal doctor in english,pk,,,,,,,,,,,2025-07-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0",1,
456,veterinary doctor course information,pk,,,,,,,,,,,2021-09-18,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
457,veterinary bird doctor near me,pk,,,,,,,,10,,,2023-03-31,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0",1,
458,highest salary of veterinary doctor in india,pk,,,,,,,,20,,,2023-09-19,,,"0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
459,veterinary doctor logo for car,pk,,,,,,,,60,,,2017-11-21,,,"2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0",1,
460,veterinary doctor salary in switzerland,pk,,,,,,,,10,,,2021-06-10,,,"0, 0, 0, 0, 0, 1, 3, 3, 1, 1, 4, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
461,veterinary doctor study years,pk,,,,,,,,30,,,2025-05-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 2, 1, 0, 0",2,
462,veterinary doctor in ludhiana,pk,,,,,,,,,,,2020-10-15,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
463,cow veterinary doctor near me,pk,,,,,,,,50,,,2020-10-11,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 2, 0, 5, 0, 0, 0",1,
464,animal doctor in english name,pk,,,,,,,,,,,2025-07-13,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 8, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
465,veterinary doctor salary in europe,pk,,,,,,,,10,,,2024-06-20,,,"2, 4, 0, 0, 0, 1, 0, 0, 0, 1, 3, 5, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1",2,
466,veterinary doctor in sargodha,pk,,,,,,,,,,,2016-03-15,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
467,veterinary doctor earnings,pk,,,,,,,,,,,2024-07-11,,,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
468,veterinary doctor home visit chennai,pk,,,,,,,,30,,,2021-02-08,,,"0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
469,medical veterinary doctor,pk,,,,,,,,,,,2020-09-13,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
470,cincinnati animal doctor,pk,,,,,,,,10,,,2021-01-26,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
471,animal doctor of weston,pk,,,,,,,,100,,,2021-04-16,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
472,government veterinary doctor near me,pk,,,,,,,,30,,,2021-09-27,,,"0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 2, 7, 0, 1, 4",3,
473,goat veterinary doctor near me,pk,,,,,,,,20,,,2022-07-29,,,"0, 1, 0, 0, 0, 0, 0, 0, 8, 3, 2, 2, 1, 3, 2, 0, 2, 1, 4, 0, 8, 1, 2, 0",2,
474,"round lake animal hospital, lahore",pk,,,,,,,,,,,2023-04-25,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
475,veterinary doctor course time,pk,,,,,,,,10,,,2022-12-03,,,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
476,veterinary doctor is mbbs or not,pk,,,,,,,,10,,,2024-03-05,,,"1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
477,what is the name for animal doctor,pk,,,,,,,,,,,2022-12-19,,,"0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
478,veterinarian definition animal doctor,pk,,,,,,,,300,,,2026-03-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0",1,
